Rule ID,CORE-ID,IG Version,ADaM Structure Group,Description,Rule Category,Status Rule,Assigned To,PR Link,Notes
AD0696,,"1.0, 1.1, 1.2, 1.3",MDBDS,"Within a given PARAMCD and BASETYPE for a combination of device and subject, more than one record has ABLFL equal to Y",,,,,
AD0697,,"1.0, 1.1, 1.2, 1.3",MDBDS,"Within a given PARAMCD for a combination of device and subject, more than one record has ABLFL equal to Y and BASETYPE is not present",,,,,
AD0698,,"1.0, 1.1, 1.2, 1.3",MDBDS,"BASETYPE is not present, BASE is populated, and BASE is not equal to AVAL where ABLFL is equal to Y for a given value of PARAMCD for a combination of device and subject",,,,,
AD0699,,"1.0, 1.1, 1.2, 1.3",MDBDS,"BASETYPE is not present, BNRIND is populated, and BNRIND is not equal to ANRIND where ABLFL is equal to Y for a given value of PARAMCD for a combination of device and subject",,,,,
AD0700,,"1.0, 1.1, 1.2, 1.3",MDBDS,"Within a given value of PARAMCD for a combination of device and subject, CHG is populated and is not equal to AVAL - BASE.",,,,,
AD0701,,"1.0, 1.1, 1.2, 1.3",MDBDS,"Within a given value of PARAMCD for a combination of device and subject, PCHG is populated and is not equal to ((AVAL - BASE)/BASE)*100",,,,,
AD0702,,"1.1, 1.2, 1.3",MDBDS,"BASETYPE is present, ByIND is populated, and ByIND is not equal to AyIND where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a combination of device and subject",,,,,
AD0703,,"1.1, 1.2, 1.3",MDBDS,"BASETYPE is not present, ByIND is populated, and ByIND is not equal to AyIND where ABLFL is equal to Y for a given value of PARAMCD for a combination of device and subject",,,,,
AD0704,,"1.2, 1.3",MDBDS,"Within a given value of PARAMCD for a combination of device and subject, BCHG is populated and is not equal to BASE-AVAL.",,,,,
AD0705,,"1.2, 1.3",MDBDS,"Within a given value of PARAMCD for a combination of device and subject, PBCHG is populated and is not equal to ((BASE-AVAL)/AVAL)*100",,,,,
AD0706,,"1.2, 1.3",ALL,"For every unique xx value of APERIOD in BDS or OCCDS datasets, there is not a variable PxxSw",,,,,
AD0707,,"1.2, 1.3",ALL,"For every unique w value of ASPER in BDS or OCCDS datasets, there is not a variable PxxSw",,,,,
AD0708,,1.1,ALL,"Labels for ADaM variables do not match the standard labels for ADaM variables listed in the implementation guide that cannot be modified (with the exception of (1) variables whose names contain indexes ""w"", “y”, ""xx"", or “zz”; and (2) variable labels with asterisks (*), braces ({...}), and ellipses (...) indicated for sponsor appropriate text)",,,,,
AD0709,,"1.2, 1.3",ALL,"Labels for ADaM variables do not match the standard labels for ADaM variables listed in the implementation guide that cannot be modified (with the exception of (1) variables whose names contain indexes ""w"", “y”, or “zz”; and (2) variable labels with asterisks (*), braces ({...}), and ellipses (...) indicated for sponsor appropriate text)",,,,,
AD0710,,"1.2, 1.3",BASIC DATA STRUCTURE,"A variable with a suffix of RFL has a value that is not Y, N, or null",,,,,
AD0711,,"1.2, 1.3",BASIC DATA STRUCTURE,"A variable with a suffix of PFL has a value that is not Y, N, or null",,,,,
AD0712,,"1.2, 1.3",BASIC DATA STRUCTURE,"A variable with a suffix of RFN has a value that is not 1, 0 or null",,,,,
